region,school,class,json_count
BioBio,COLEGIO BASICO VILLA ACERO,4A,0
BioBio,COLEGIO BASICO VILLA ACERO,4B,0
BioBio,COLEGIO BASICO VILLA ACERO,5A,0
BioBio,COLEGIO BASICO VILLA ACERO,5B,0
BioBio,COLEGIO BASICO VILLA ACERO,5C,0
BioBio,COLEGIO BASICO VILLA ACERO,6A,0
BioBio,COLEGIO BASICO VILLA ACERO,6B,0
BioBio,COLEGIO BASICO VILLA ACERO,6C,0
BioBio,COLEGIO BASICO VILLA ACERO,7A,0
BioBio,COLEGIO BASICO VILLA ACERO,7B,0
BioBio,COLEGIO BASICO VILLA ACERO,7C,0
BioBio,COLEGIO EDWARD,4A,0
BioBio,COLEGIO EDWARD,5A,0
BioBio,COLEGIO EDWARD,6A,0
BioBio,COLEGIO EDWARD,7A,0
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,4A,0
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,5A,0
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,6A,0
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,7A,0
BioBio,COLEGIO PACIFIC SCHOOL,4A,36
BioBio,COLEGIO PACIFIC SCHOOL,5A,26
BioBio,COLEGIO PACIFIC SCHOOL,5B,34
BioBio,COLEGIO PACIFIC SCHOOL,6A,28
BioBio,COLEGIO PACIFIC SCHOOL,6B,33
BioBio,COLEGIO PACIFIC SCHOOL,7A,34
BioBio,COLEGIO PACIFIC SCHOOL,7B,33
BioBio,COLEGIO SAN AGUSTIN,4A,0
BioBio,COLEGIO SAN AGUSTIN,5A,0
BioBio,COLEGIO SAN AGUSTIN,6A,0
BioBio,COLEGIO SAN AGUSTIN,7A,0
BioBio,Centro Educacional Alborada,4A,0
BioBio,Centro Educacional Alborada,5A,0
BioBio,Centro Educacional Alborada,6A,0
BioBio,Centro Educacional Alborada,7A,0
BioBio,Colegio BIOBíO,4A,0
BioBio,Colegio BIOBíO,5A,0
BioBio,Colegio BIOBíO,6A,0
BioBio,Colegio BIOBíO,7A,0
BioBio,Colegio Basico Nueva Los Lobos,4A,0
BioBio,Colegio Basico Nueva Los Lobos,4B,0
BioBio,Colegio Basico Nueva Los Lobos,5A,0
BioBio,Colegio Basico Nueva Los Lobos,5B,0
BioBio,Colegio Basico Nueva Los Lobos,6A,0
BioBio,Colegio Basico Nueva Los Lobos,6B,0
