region,school,class,pdf_count
BioBio,COLEGIO BASICO VILLA ACERO,4A,23
BioBio,COLEGIO BASICO VILLA ACERO,4B,29
BioBio,COLEGIO BASICO VILLA ACERO,5A,15
BioBio,COLEGIO BASICO VILLA ACERO,5B,19
BioBio,COLEGIO BASICO VILLA ACERO,5C,20
BioBio,COLEGIO BASICO VILLA ACERO,6A,24
BioBio,COLEGIO BASICO VILLA ACERO,6B,25
BioBio,COLEGIO BASICO VILLA ACERO,6C,23
BioBio,COLEGIO BASICO VILLA ACERO,7A,23
BioBio,COLEGIO BASICO VILLA ACERO,7B,25
BioBio,COLEGIO BASICO VILLA ACERO,7C,20
BioBio,COLEGIO EDWARD,4A,31
BioBio,COLEGIO EDWARD,5A,27
BioBio,COLEGIO EDWARD,6A,30
BioBio,COLEGIO EDWARD,7A,26
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,4A,16
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,5A,16
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,6A,21
BioBio,COLEGIO NUESTRA SEÑORA DEL CARMEN,7A,21
BioBio,COLEGIO PACIFIC SCHOOL,4A,36
BioBio,COLEGIO PACIFIC SCHOOL,5A,26
BioBio,COLEGIO PACIFIC SCHOOL,5B,34
BioBio,COLEGIO PACIFIC SCHOOL,6A,28
BioBio,COLEGIO PACIFIC SCHOOL,6B,33
BioBio,COLEGIO PACIFIC SCHOOL,7A,34
BioBio,COLEGIO PACIFIC SCHOOL,7B,33
BioBio,COLEGIO SAN AGUSTIN,4A,26
BioBio,COLEGIO SAN AGUSTIN,5A,28
BioBio,COLEGIO SAN AGUSTIN,6A,27
BioBio,COLEGIO SAN AGUSTIN,7A,30
BioBio,Centro Educacional Alborada,4A,31
BioBio,Centro Educacional Alborada,5A,31
BioBio,Centro Educacional Alborada,6A,31
BioBio,Centro Educacional Alborada,7A,32
BioBio,Colegio BIOBíO,4A,18
BioBio,Colegio BIOBíO,5A,22
BioBio,Colegio BIOBíO,6A,24
BioBio,Colegio BIOBíO,7A,21
BioBio,Colegio Basico Nueva Los Lobos,4A,19
BioBio,Colegio Basico Nueva Los Lobos,4B,16
BioBio,Colegio Basico Nueva Los Lobos,5A,22
BioBio,Colegio Basico Nueva Los Lobos,5B,17
BioBio,Colegio Basico Nueva Los Lobos,6A,22
BioBio,Colegio Basico Nueva Los Lobos,6B,19
BioBio,Colegio Basico Nueva Los Lobos,7A,26
BioBio,Colegio Basico Nueva Los Lobos,7B,24
BioBio,Colegio Galvarino De Lomas Coloradas,4A,31
BioBio,Colegio Galvarino De Lomas Coloradas,5A,35
BioBio,Colegio Galvarino De Lomas Coloradas,6A,28
BioBio,Colegio Galvarino De Lomas Coloradas,7A,28
BioBio,Colegio Gran Bretaña,4A,17
BioBio,Colegio Gran Bretaña,5A,23
BioBio,Colegio Gran Bretaña,6A,24
BioBio,Colegio Gran Bretaña,7A,21
BioBio,Colegio Marina de Chile,4A,19
BioBio,Colegio Marina de Chile,4B,17
BioBio,Colegio Marina de Chile,5A,24
BioBio,Colegio Marina de Chile,5B,24
BioBio,Colegio Marina de Chile,6A,30
BioBio,Colegio Marina de Chile,6B,26
BioBio,Colegio Marina de Chile,7A,22
BioBio,Colegio Marina de Chile,7B,24
BioBio,Colegio Nuevos Horizontes,4A,17
BioBio,Colegio Nuevos Horizontes,4B,16
BioBio,Colegio Nuevos Horizontes,5A,21
BioBio,Colegio Nuevos Horizontes,5B,24
BioBio,Colegio Nuevos Horizontes,6A,23
BioBio,Colegio Nuevos Horizontes,6B,22
BioBio,Colegio Nuevos Horizontes,7A,24
BioBio,Colegio Nuevos Horizontes,7B,23
BioBio,Colegio Parroquial San Jose,4A,19
BioBio,Colegio Parroquial San Jose,5A,23
BioBio,Colegio Parroquial San Jose,6A,33
BioBio,Colegio Parroquial San Jose,7A,21
BioBio,Colegio Particular Aurora De Chile,4A,26
BioBio,Colegio Particular Aurora De Chile,4B,23
BioBio,Colegio Particular Aurora De Chile,5A,35
BioBio,Colegio Particular Aurora De Chile,5B,31
BioBio,Colegio Particular Aurora De Chile,6A,33
BioBio,Colegio Particular Aurora De Chile,6B,30
BioBio,Colegio Particular Aurora De Chile,7A,30
BioBio,Colegio Particular Aurora De Chile,7B,30
BioBio,Colegio Republica De Grecia,4A,17
BioBio,Colegio Republica De Grecia,5A,26
BioBio,Colegio Republica De Grecia,6A,24
BioBio,Colegio Republica De Grecia,7A,21
BioBio,Colegio Teresa de Los Andes,4A,42
BioBio,Colegio Teresa de Los Andes,5A,39
BioBio,Colegio Teresa de Los Andes,6A,42
BioBio,Colegio Teresa de Los Andes,7A,43
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,4A,12
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,4B,11
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,5A,10
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,5B,11
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,6A,18
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,6B,11
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,7A,15
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,7B,15
BioBio,ESCUELA AMBROSIO O´HIGGINS,4A,19
BioBio,ESCUELA AMBROSIO O´HIGGINS,5A,28
BioBio,ESCUELA AMBROSIO O´HIGGINS,6A,21
BioBio,ESCUELA AMBROSIO O´HIGGINS,6B,19
BioBio,ESCUELA AMBROSIO O´HIGGINS,7A,19
BioBio,ESCUELA ARTURO PRAT CHACON,4A,21
BioBio,ESCUELA ARTURO PRAT CHACON,4B,17
BioBio,ESCUELA ARTURO PRAT CHACON,5A,26
BioBio,ESCUELA ARTURO PRAT CHACON,5B,22
BioBio,ESCUELA ARTURO PRAT CHACON,6A,23
BioBio,ESCUELA ARTURO PRAT CHACON,6B,22
BioBio,ESCUELA ARTURO PRAT CHACON,6C,14
BioBio,ESCUELA ARTURO PRAT CHACON,7A,13
BioBio,ESCUELA ARTURO PRAT CHACON,7B,18
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,4A,19
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,4B,20
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,5A,20
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,5B,20
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,6A,25
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,6B,22
